Module,Path,Files,Lines,Size_Bytes,Python_Files,Test_Files,Complexity_Score
DeepSeek_CoreAnalysis_0729.txt,logs\DeepSeek_CoreAnalysis_0729.txt,1,14,1461,0,0,0.0
DeepSeek_bookmark_manager.py.txt,logs\DeepSeek_bookmark_manager.py.txt,1,16,2534,0,0,0.0
DeepSeek_bookmark_manager_0728.txt,logs\DeepSeek_bookmark_manager_0728.txt,1,13,1716,0,0,0.0
DeepSeek_character_consistency_engine_0728.txt,logs\DeepSeek_character_consistency_engine_0728.txt,1,12,1661,0,0,0.0
DeepSeek_character_interaction_engine_0728.txt,logs\DeepSeek_character_interaction_engine_0728.txt,1,20,2063,0,0,0.0
DeepSeek_character_stat_engine_0728.txt,logs\DeepSeek_character_stat_engine_0728.txt,1,6,468,0,0,0.0
DeepSeek_character_style_manager_0728.txt,logs\DeepSeek_character_style_manager_0728.txt,1,6,704,0,0,0.0
DeepSeek_content_analyzer_0728.txt,logs\DeepSeek_content_analyzer_0728.txt,1,16,1479,0,0,0.0
DeepSeek_context_builder_0728.txt,logs\DeepSeek_context_builder_0728.txt,1,26,2827,0,0,0.0
DeepSeek_database_0728.txt,logs\DeepSeek_database_0728.txt,1,4,278,0,0,0.0
DeepSeek_emotional_stability_engine_0728.txt,logs\DeepSeek_emotional_stability_engine_0728.txt,1,22,2128,0,0,0.0
DeepSeek_image_adapter_0728.txt,logs\DeepSeek_image_adapter_0728.txt,1,14,2007,0,0,0.0
DeepSeek_image_generation_engine_0728.txt,logs\DeepSeek_image_generation_engine_0728.txt,1,12,1327,0,0,0.0
DeepSeek_intelligent_response_engine_0728.txt,logs\DeepSeek_intelligent_response_engine_0728.txt,1,6,392,0,0,0.0
DeepSeek_memory_consistency_engine_0728.txt,logs\DeepSeek_memory_consistency_engine_0728.txt,1,46,2740,0,0,0.0
DeepSeek_memory_manager_0728.txt,logs\DeepSeek_memory_manager_0728.txt,1,22,1898,0,0,0.0
DeepSeek_model_adapter_0728.txt,logs\DeepSeek_model_adapter_0728.txt,1,66,2458,0,0,0.0
DeepSeek_narrative_dice_engine_0728.txt,logs\DeepSeek_narrative_dice_engine_0728.txt,1,15,1153,0,0,0.0
DeepSeek_rollback_engine_0728.txt,logs\DeepSeek_rollback_engine_0728.txt,1,66,3609,0,0,0.0
DeepSeek_scene_logger_0728.txt,logs\DeepSeek_scene_logger_0728.txt,1,4,45,0,0,0.0
DeepSeek_search_engine_0728.txt,logs\DeepSeek_search_engine_0728.txt,1,4,421,0,0,0.0
DeepSeek_story_loader_0728.txt,logs\DeepSeek_story_loader_0728.txt,1,16,1662,0,0,0.0
DeepSeek_timeline_builder_0728.txt,logs\DeepSeek_timeline_builder_0728.txt,1,18,835,0,0,0.0
DeepSeek_token_manager_0728.txt,logs\DeepSeek_token_manager_0728.txt,1,20,2304,0,0,0.0
WizardCoder13b_CoreAnalysis_0729.txt,logs\WizardCoder13b_CoreAnalysis_0729.txt,1,129,5756,0,0,0.0
WizardCoder_bookmark_manager_0728.txt,logs\WizardCoder_bookmark_manager_0728.txt,1,3,115,0,0,0.0
WizardCoder_character_consistency_engine_0728.txt,logs\WizardCoder_character_consistency_engine_0728.txt,1,9,1129,0,0,0.0
WizardCoder_character_interaction_engine_0728.txt,logs\WizardCoder_character_interaction_engine_0728.txt,1,16,1276,0,0,0.0
WizardCoder_character_stat_engine_0728.txt,logs\WizardCoder_character_stat_engine_0728.txt,1,9,1435,0,0,0.0
WizardCoder_character_style_manager_0728.txt,logs\WizardCoder_character_style_manager_0728.txt,1,423,19077,0,0,0.0
WizardCoder_content_analyzer_0728.txt,logs\WizardCoder_content_analyzer_0728.txt,1,31,928,0,0,0.0
WizardCoder_context_builder_0728.txt,logs\WizardCoder_context_builder_0728.txt,1,414,17105,0,0,0.0
WizardCoder_database_0728.txt,logs\WizardCoder_database_0728.txt,1,457,19264,0,0,0.0
WizardCoder_emotional_stability_engine_0728.txt,logs\WizardCoder_emotional_stability_engine_0728.txt,1,3,170,0,0,0.0
WizardCoder_image_adapter_0728.txt,logs\WizardCoder_image_adapter_0728.txt,1,408,14952,0,0,0.0
WizardCoder_image_generation_engine_0728.txt,logs\WizardCoder_image_generation_engine_0728.txt,1,411,18691,0,0,0.0
model_interactions.jsonl,logs\model_interactions.jsonl,1,198,39804,0,0,0.0
openchronicle.log.1,logs\openchronicle.log.1,1,35744,5242831,0,0,0.0
system_events.jsonl,logs\system_events.jsonl,1,18579,3018328,0,0,0.0
main.py,main.py,1,719,29283,1,0,93.0
module_analysis.csv,module_analysis.csv,1,185,12241,0,0,0.0
pyproject.toml,pyproject.toml,1,26,756,0,0,0.0
requirements.txt,requirements.txt,1,42,2145,0,0,0.0
storage,storage,145,18612,11886160,0,112,0.0
README.md,storage\README.md,1,118,4540,0,0,0.0
characters,storage\characters,8,79,1739,0,6,0.0
data,storage\data,64,8858,6844616,0,53,0.0
narrative_systems,storage\narrative_systems,1,22,526,0,0,0.0
performance_baseline.json,storage\performance_baseline.json,1,7,183,0,0,0.0
storypacks,storage\storypacks,23,2247,260940,0,6,0.0
temp,storage\temp,47,7281,4773616,0,47,0.0
templates,templates,11,1598,53643,0,0,0.0
README.md,templates\README.md,1,170,6202,0,0,0.0
character_template.json,templates\character_template.json,1,273,9049,0,0,0.0
chatbot_template.json,templates\chatbot_template.json,1,108,3542,0,0,0.0
content_template.json,templates\content_template.json,1,263,8293,0,0,0.0
instructions_template.json,templates\instructions_template.json,1,81,2860,0,0,0.0
location_template.json,templates\location_template.json,1,73,2616,0,0,0.0
meta_template.json,templates\meta_template.json,1,77,2569,0,0,0.0
narrative_template.json,templates\narrative_template.json,1,205,6853,0,0,0.0
scene_template.json,templates\scene_template.json,1,84,2795,0,0,0.0
style_guide_template.json,templates\style_guide_template.json,1,89,3126,0,0,0.0
world_template.json,templates\world_template.json,1,175,5738,0,0,0.0
tests,tests,18,4119,244657,11,13,9.777777777777779
.pytest_cache,tests\.pytest_cache,5,142,12970,0,5,0.0
conftest.py,tests\conftest.py,1,356,12902,1,0,7.0
logs,tests\logs,1,584,95085,0,0,0.0
mocks,tests\mocks,2,309,11805,2,0,12.0
pytest.ini,tests\pytest.ini,1,28,823,0,0,0.0
unit,tests\unit,8,2700,111072,8,8,18.125
utilities,utilities,11,6626,265915,10,0,58.81818181818182
README.md,utilities\README.md,1,527,14791,0,0,0.0
api_key_manager.py,utilities\api_key_manager.py,1,553,18953,1,0,71.0
backup_manager.py,utilities\backup_manager.py,1,513,21318,1,0,73.0
cleanup_storage.py,utilities\cleanup_storage.py,1,378,16275,1,0,70.0
codebase_refresh.py,utilities\codebase_refresh.py,1,486,18654,1,0,38.0
logging_system.py,utilities\logging_system.py,1,354,15640,1,0,30.0
maintenance.py,utilities\maintenance.py,1,404,17085,1,0,42.0
optimize_database.py,utilities\optimize_database.py,1,412,17234,1,0,43.0
performance_monitor.py,utilities\performance_monitor.py,1,933,39389,1,0,71.0
storypack_importer.py,utilities\storypack_importer.py,1,1409,58677,1,0,148.0
system_profiler.py,utilities\system_profiler.py,1,657,27899,1,0,61.0
